image_path,label,dataset,split
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-27-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-27-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-27-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-28-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-28-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-29-img-1.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-29-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-29-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-3-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-3-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-3-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-30-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-30-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-30-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-31-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-31-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-31-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-32-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-32-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-33-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-34-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-34-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-34-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-35-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-35-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-35-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-36-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-36-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-36-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-37-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-37-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-37-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-38-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-38-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-38-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-39-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-39-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-39-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-4-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-4-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-4-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-40-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-40-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-40-img-3.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-41-img-1.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-41-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-41-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-42-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-42-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-42-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-43-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-43-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-43-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-44-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-44-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-44-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-45-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-45-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-45-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-46-img-1.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-47-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-47-img-3.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-48-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-48-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-49-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-49-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-49-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-5-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-50-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-51-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-51-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-52-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-52-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-53-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-53-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-53-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-54-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-55-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-55-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-56-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-56-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-56-img-3.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-57-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-58-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-58-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-58-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-59-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-59-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-59-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-6-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-6-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-60-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-60-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-61-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-61-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-61-img-3.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-62-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-62-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-62-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-63-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-63-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-64-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-64-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-64-img-3.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-65-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-66-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-66-img-2.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-66-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-67-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-67-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-67-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-68-img-1.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-68-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-68-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-69-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-69-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-7-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-7-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-7-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-70-img-1.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-70-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-70-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-71-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-71-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-71-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-72-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-72-img-2.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-72-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-73-img-1.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-73-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-73-img-3.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-74-img-1.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-74-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-74-img-3.jpg,BG,shrimp,val
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-8-img-1.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-8-img-2.jpg,BG,shrimp,train
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-8-img-3.jpg,BG,shrimp,test
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-9-img-1.jpg,BG,shrimp,train
