image_path,label,split,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_12.jpg,Bacterial diseases - Aeromoniasis,train,5.92,31.01,3.01,22.34,0.032,40.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_120.jpg,Bacterial diseases - Aeromoniasis,train,6.0,32.01,4.71,28.7,0.113,44.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_123.jpg,Bacterial diseases - Aeromoniasis,train,5.1,31.15,5.17,27.23,0.039,48.02
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_124.jpg,Bacterial diseases - Aeromoniasis,train,6.79,32.88,3.83,24.36,0.115,59.05
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_125.jpg,Bacterial diseases - Aeromoniasis,train,5.38,28.52,2.85,28.4,0.283,39.97
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_126.jpg,Bacterial diseases - Aeromoniasis,train,5.46,32.18,2.46,34.2,0.69,41.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_127.jpg,Bacterial diseases - Aeromoniasis,train,5.57,33.03,2.22,28.91,0.189,58.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_128.jpg,Bacterial diseases - Aeromoniasis,train,6.26,32.95,2.21,22.72,0.324,51.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_129.jpg,Bacterial diseases - Aeromoniasis,train,6.83,31.73,2.63,35.46,0.264,49.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_13.jpg,Bacterial diseases - Aeromoniasis,train,5.52,32.97,4.13,24.72,0.262,49.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_130.jpg,Bacterial diseases - Aeromoniasis,train,6.66,30.39,2.6,24.44,0.903,36.84
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_131.jpg,Bacterial diseases - Aeromoniasis,train,6.27,33.07,3.21,33.81,0.215,30.94
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_132.jpg,Bacterial diseases - Aeromoniasis,train,6.08,28.32,3.59,27.11,0.004,52.14
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_135.jpg,Bacterial diseases - Aeromoniasis,train,6.38,30.82,2.52,21.94,0.476,35.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_136.jpg,Bacterial diseases - Aeromoniasis,train,5.79,31.43,3.51,24.46,0.239,46.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_137.jpg,Bacterial diseases - Aeromoniasis,train,6.13,28.14,3.49,30.24,0.299,35.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_139.jpg,Bacterial diseases - Aeromoniasis,train,6.93,32.29,3.61,30.06,0.4,83.53
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_14.jpg,Bacterial diseases - Aeromoniasis,train,5.82,32.63,6.42,31.04,0.118,46.65
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_140.jpg,Bacterial diseases - Aeromoniasis,train,4.98,32.72,1.91,26.11,0.034,55.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_142.jpg,Bacterial diseases - Aeromoniasis,train,5.67,32.7,2.62,28.87,0.013,68.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_143.jpg,Bacterial diseases - Aeromoniasis,train,7.21,25.94,3.35,25.35,0.144,53.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_145.jpg,Bacterial diseases - Aeromoniasis,train,6.4,33.16,2.24,26.66,0.043,48.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_147.jpg,Bacterial diseases - Aeromoniasis,train,5.13,27.85,3.93,36.49,0.136,55.32
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_15.jpg,Bacterial diseases - Aeromoniasis,train,6.86,29.23,3.56,31.1,0.161,44.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_150.jpg,Bacterial diseases - Aeromoniasis,train,6.98,30.37,0.5,34.53,0.252,30.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_151.jpg,Bacterial diseases - Aeromoniasis,train,6.8,31.03,2.41,29.85,0.018,42.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_152.jpg,Bacterial diseases - Aeromoniasis,train,6.14,31.28,3.73,34.34,0.153,32.62
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_154.jpg,Bacterial diseases - Aeromoniasis,train,5.54,32.47,2.54,25.51,0.018,53.85
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_155.jpg,Bacterial diseases - Aeromoniasis,train,6.61,31.89,2.65,31.6,0.332,48.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_158.jpg,Bacterial diseases - Aeromoniasis,train,5.6,29.6,3.8,30.44,1.164,27.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_16.jpg,Bacterial diseases - Aeromoniasis,train,5.37,32.37,3.04,27.13,0.347,55.99
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_160.jpg,Bacterial diseases - Aeromoniasis,val,6.88,31.05,3.75,26.76,0.123,42.29
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_163.jpg,Bacterial diseases - Aeromoniasis,val,5.73,31.24,3.68,24.73,0.087,65.92
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_164.jpg,Bacterial diseases - Aeromoniasis,train,6.79,32.98,3.7,30.51,0.024,38.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_165.jpg,Bacterial diseases - Aeromoniasis,train,6.09,33.44,3.08,24.7,0.039,41.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_167.jpg,Bacterial diseases - Aeromoniasis,train,5.61,31.61,3.4,25.97,0.019,50.59
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_169.jpg,Bacterial diseases - Aeromoniasis,train,6.62,27.38,2.07,25.13,0.375,42.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_17.jpg,Bacterial diseases - Aeromoniasis,val,6.61,30.6,3.18,23.99,0.003,38.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_170.jpg,Bacterial diseases - Aeromoniasis,val,6.07,31.81,2.54,30.08,0.819,60.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_173.jpg,Bacterial diseases - Aeromoniasis,train,6.51,30.0,3.38,28.05,0.019,49.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_174.jpg,Bacterial diseases - Aeromoniasis,train,6.13,34.63,3.97,36.61,0.219,37.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_175.jpg,Bacterial diseases - Aeromoniasis,train,7.41,28.98,2.53,25.6,0.156,55.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_176.jpg,Bacterial diseases - Aeromoniasis,val,5.01,31.85,4.7,31.8,0.289,39.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_177.jpg,Bacterial diseases - Aeromoniasis,train,5.31,35.58,4.14,26.12,1.091,47.95
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_178.jpeg,Bacterial diseases - Aeromoniasis,val,5.44,30.71,4.19,21.62,0.015,39.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_18.jpg,Bacterial diseases - Aeromoniasis,train,6.1,31.12,2.84,30.49,0.15,31.31
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_181.jpg,Bacterial diseases - Aeromoniasis,train,6.42,27.16,4.22,29.33,0.184,37.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_183.jpg,Bacterial diseases - Aeromoniasis,train,6.54,31.17,5.82,35.02,0.523,34.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_186.jpg,Bacterial diseases - Aeromoniasis,train,6.92,28.59,3.75,32.23,0.124,27.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_187.jpg,Bacterial diseases - Aeromoniasis,train,5.94,32.79,4.4,28.3,0.126,54.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_188.jpg,Bacterial diseases - Aeromoniasis,train,6.3,26.74,3.16,29.54,0.17,44.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_189.jpeg,Bacterial diseases - Aeromoniasis,train,5.32,32.67,3.49,24.24,0.05,52.47
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_19.jpg,Bacterial diseases - Aeromoniasis,train,5.93,28.54,3.6,25.88,0.049,37.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_192.jpg,Bacterial diseases - Aeromoniasis,val,6.04,28.41,2.76,23.21,0.175,43.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_193.jpg,Bacterial diseases - Aeromoniasis,train,6.13,29.25,3.37,27.55,0.41,42.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_194.jpg,Bacterial diseases - Aeromoniasis,train,5.78,29.56,2.98,18.79,0.241,38.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_195.jpg,Bacterial diseases - Aeromoniasis,train,4.78,32.44,3.45,40.0,0.028,56.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_196.jpg,Bacterial diseases - Aeromoniasis,train,5.14,31.51,2.59,22.31,0.005,34.39
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_197.jpg,Bacterial diseases - Aeromoniasis,train,5.71,35.22,3.91,27.97,0.023,59.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_198.jpg,Bacterial diseases - Aeromoniasis,train,7.01,32.35,2.37,27.24,0.083,58.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_199.jpg,Bacterial diseases - Aeromoniasis,train,5.31,27.5,3.65,25.4,0.052,40.13
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_2.jpg,Bacterial diseases - Aeromoniasis,train,6.13,28.92,3.42,27.8,0.03,48.9
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_200.jpeg,Bacterial diseases - Aeromoniasis,train,6.05,29.56,3.8,30.0,0.663,35.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_201.jpg,Bacterial diseases - Aeromoniasis,train,5.1,32.36,2.67,30.28,0.098,47.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_203.jpg,Bacterial diseases - Aeromoniasis,train,4.46,31.65,2.48,30.55,0.042,28.38
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_204.jpg,Bacterial diseases - Aeromoniasis,train,5.71,31.12,2.51,26.46,0.016,38.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_205.jpg,Bacterial diseases - Aeromoniasis,train,6.56,32.32,4.35,18.11,0.107,37.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_206.jpg,Bacterial diseases - Aeromoniasis,train,6.32,29.49,3.27,27.38,0.214,43.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_207.jpg,Bacterial diseases - Aeromoniasis,train,6.17,29.78,2.85,29.58,0.274,40.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_209.jpg,Bacterial diseases - Aeromoniasis,train,6.62,30.18,4.16,26.37,0.145,38.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_21.jpg,Bacterial diseases - Aeromoniasis,train,4.76,31.05,4.54,29.31,0.121,42.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_214.jpg,Bacterial diseases - Aeromoniasis,train,6.24,32.93,2.02,32.58,0.037,50.09
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_216.jpg,Bacterial diseases - Aeromoniasis,train,6.85,31.45,3.4,26.16,0.071,36.5
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_218.jpg,Bacterial diseases - Aeromoniasis,val,6.14,29.81,3.58,29.33,0.105,57.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_219.jpg,Bacterial diseases - Aeromoniasis,train,5.83,32.89,2.46,31.48,0.296,58.56
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_220.jpg,Bacterial diseases - Aeromoniasis,train,5.64,27.89,1.78,33.98,0.155,46.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_221.jpg,Bacterial diseases - Aeromoniasis,val,7.69,31.27,3.78,29.92,0.307,47.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_222.jpg,Bacterial diseases - Aeromoniasis,train,7.23,34.36,4.47,25.96,0.681,44.1
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_223.jpg,Bacterial diseases - Aeromoniasis,train,6.57,31.14,4.08,21.23,0.014,60.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_224.jpg,Bacterial diseases - Aeromoniasis,train,5.49,26.86,3.86,28.29,0.106,57.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_226.jpg,Bacterial diseases - Aeromoniasis,val,5.61,30.35,2.0,27.02,0.172,42.27
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_227.jpg,Bacterial diseases - Aeromoniasis,train,5.96,32.74,4.68,32.51,0.003,34.83
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_228.jpg,Bacterial diseases - Aeromoniasis,train,6.41,30.33,2.31,38.29,0.017,45.59
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_229.jpg,Bacterial diseases - Aeromoniasis,train,5.11,30.64,2.36,25.81,0.009,70.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_23.jpg,Bacterial diseases - Aeromoniasis,train,7.0,24.37,4.07,32.98,0.042,24.27
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_230.jpg,Bacterial diseases - Aeromoniasis,val,5.26,29.06,2.31,35.01,0.006,49.85
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_231.jpg,Bacterial diseases - Aeromoniasis,train,5.64,32.8,2.3,25.9,0.264,49.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_232.jpg,Bacterial diseases - Aeromoniasis,val,5.96,30.06,3.77,29.78,0.443,61.46
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_233.jpg,Bacterial diseases - Aeromoniasis,train,5.5,32.48,2.95,29.3,0.137,32.49
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_236.jpg,Bacterial diseases - Aeromoniasis,train,5.79,33.62,2.64,22.37,0.223,52.56
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_237.jpg,Bacterial diseases - Aeromoniasis,val,5.25,25.8,4.56,28.84,0.361,44.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_238.jpg,Bacterial diseases - Aeromoniasis,train,6.08,33.76,3.29,28.6,0.138,66.55
