pond_id,species,ph,do_mgL,temp_C,ammonia_mgL,salinity_ppt,turbidity_ntu,water_quality_status,is_synthetic,split
pond_00050,fish,8.0,3.84,29.3,0.0,0.02,11.7,Acceptable,True,train
pond_00051,fish,6.84,5.57,30.3,0.0,0.1,29.1,Acceptable,True,test
pond_00052,fish,6.86,10.33,24.4,0.0,0.0,18.1,Acceptable,True,train
pond_00053,fish,7.35,8.3,27.6,0.0,0.7,43.4,Optimal,True,train
pond_00054,fish,7.13,1.92,27.2,0.35,0.18,43.1,Critical,True,train
pond_00055,fish,6.72,6.27,26.7,0.0,0.36,26.7,Optimal,True,val
pond_00056,fish,7.13,7.27,27.7,0.22,0.07,70.7,Critical,True,val
pond_00057,fish,7.12,4.65,32.7,0.0,0.0,21.8,Acceptable,True,train
pond_00058,fish,7.0,5.68,26.1,0.0,0.14,32.9,Optimal,True,val
pond_00059,fish,7.21,4.85,31.2,0.178,0.48,46.5,Critical,True,train
pond_00060,fish,8.11,7.58,23.8,0.005,0.07,51.1,Acceptable,True,train
pond_00061,fish,7.52,4.39,27.6,0.306,0.0,58.0,Critical,True,train
pond_00062,fish,8.88,7.37,29.0,0.0,0.24,42.7,Acceptable,True,test
pond_00063,fish,7.5,5.37,30.1,0.22,0.32,53.9,Critical,True,train
pond_00064,fish,7.23,4.06,30.5,0.048,0.61,23.0,Poor,True,train
pond_00065,fish,7.4,6.9,30.7,0.089,0.29,51.5,Critical,True,test
pond_00066,fish,7.55,3.85,27.5,0.303,0.36,51.3,Critical,True,train
pond_00067,fish,7.66,5.3,27.2,0.271,0.38,62.2,Critical,True,train
pond_00068,fish,8.65,4.48,30.9,0.0,0.0,5.0,Acceptable,True,train
pond_00069,fish,6.89,8.92,28.0,0.0,0.0,18.7,Optimal,True,train
pond_00070,fish,7.92,5.61,24.9,0.147,0.0,49.8,Critical,True,train
pond_00071,fish,7.52,3.46,25.3,0.0,0.0,0.0,Poor,True,train
pond_00072,fish,6.46,5.54,25.9,0.12,0.4,43.9,Critical,True,train
pond_00073,fish,7.86,6.14,29.9,0.149,0.27,54.1,Critical,True,train
pond_00074,fish,8.16,6.81,28.9,0.0,0.22,24.6,Optimal,True,train
pond_00075,fish,6.89,8.57,30.4,0.0,0.0,27.3,Optimal,True,train
pond_00076,fish,7.39,8.03,27.3,0.0,0.71,15.7,Optimal,True,train
pond_00077,fish,6.36,5.97,28.9,0.0,0.0,25.6,Optimal,True,test
pond_00078,fish,6.64,4.18,30.3,0.031,0.71,26.1,Poor,True,train
pond_00079,fish,8.03,8.26,27.6,0.0,0.0,22.7,Optimal,True,train
pond_00080,fish,7.12,5.01,29.8,0.0,0.0,21.7,Optimal,True,val
pond_00081,fish,6.73,5.28,26.6,0.0,0.0,30.1,Optimal,True,train
pond_00082,fish,7.54,5.43,27.5,0.009,0.29,29.9,Optimal,True,train
pond_00083,fish,7.09,4.28,27.4,0.394,0.0,68.7,Critical,True,val
pond_00084,fish,7.12,5.87,25.2,0.0,0.0,27.9,Optimal,True,train
pond_00085,fish,7.84,5.18,29.9,0.114,0.0,41.2,Critical,True,train
pond_00086,fish,6.7,7.1,27.2,0.0,0.39,24.6,Optimal,True,val
pond_00087,fish,6.86,5.25,28.5,0.0,0.38,24.4,Acceptable,True,train
pond_00088,fish,7.49,3.74,29.8,0.0,0.65,4.3,Acceptable,True,train
pond_00089,fish,7.98,3.29,29.8,0.0,0.03,6.7,Poor,True,train
pond_00090,fish,8.14,5.69,30.4,0.0,0.25,13.3,Optimal,True,train
pond_00091,fish,7.0,5.96,28.2,0.027,0.0,38.3,Acceptable,True,train
pond_00092,fish,7.96,5.28,27.3,0.2,0.12,54.4,Critical,True,test
pond_00093,fish,6.93,5.19,28.3,0.0,0.07,2.8,Optimal,True,train
pond_00094,fish,8.5,7.36,23.8,0.0,0.32,25.1,Acceptable,True,val
pond_00095,fish,6.72,8.62,24.4,0.0,0.45,10.4,Optimal,True,train
pond_00096,fish,8.2,5.5,24.8,0.0,0.45,30.2,Acceptable,True,test
pond_00097,fish,7.01,6.52,25.7,0.118,0.0,54.4,Critical,True,train
pond_00098,fish,8.61,6.9,29.6,0.0,0.45,27.0,Optimal,True,test
pond_00099,fish,7.75,5.26,26.0,0.048,0.19,34.1,Poor,True,train
pond_00100,fish,6.79,6.01,27.4,0.224,0.12,61.2,Critical,True,test
pond_00101,fish,7.09,4.97,32.1,0.17,0.02,43.2,Critical,True,train
pond_00102,fish,7.87,4.18,27.5,0.025,0.06,21.3,Acceptable,True,train
pond_00103,fish,8.03,5.59,30.6,0.075,0.64,37.9,Poor,True,train
pond_00104,fish,7.36,6.4,25.9,0.0,0.28,20.1,Optimal,True,val
pond_00105,fish,7.43,6.7,27.9,0.0,0.24,42.6,Optimal,True,test
pond_00106,fish,7.86,4.71,25.8,0.167,0.13,44.3,Critical,True,test
pond_00107,fish,7.48,6.02,27.6,0.0,0.81,10.4,Optimal,True,val
pond_00108,fish,6.62,7.23,30.9,0.0,0.53,38.2,Optimal,True,train
pond_00109,fish,6.91,9.74,23.7,0.0,0.02,32.9,Acceptable,True,train
pond_00110,fish,7.54,7.33,29.7,0.0,0.13,44.8,Optimal,True,train
pond_00111,fish,8.13,4.01,29.2,0.283,0.15,50.0,Critical,True,val
pond_00112,fish,8.37,6.79,26.8,0.018,0.24,43.6,Optimal,True,train
pond_00113,fish,7.87,5.99,24.5,0.0,0.02,29.5,Optimal,True,train
pond_00114,fish,7.57,6.15,28.7,0.138,0.31,51.8,Poor,True,train
pond_00115,fish,7.85,5.04,27.0,0.0,0.56,19.3,Optimal,True,train
pond_00116,fish,7.0,3.26,29.2,0.001,0.0,11.2,Poor,True,train
pond_00117,fish,7.31,5.3,28.6,0.0,0.0,0.0,Acceptable,True,train
pond_00118,fish,6.91,5.85,33.0,0.004,0.08,33.7,Optimal,True,test
pond_00119,fish,6.65,6.35,27.8,0.0,0.09,20.2,Optimal,True,train
pond_00120,fish,7.6,6.98,25.6,0.0,0.7,42.2,Optimal,True,train
pond_00121,fish,7.51,6.0,29.0,0.0,0.45,0.0,Acceptable,True,train
pond_00122,fish,7.81,6.23,29.1,0.0,0.44,23.4,Optimal,True,train
pond_00123,fish,7.73,5.73,32.3,0.109,0.13,43.5,Critical,True,val
pond_00124,fish,7.55,4.91,30.8,0.0,0.13,16.5,Optimal,True,train
pond_00125,fish,7.73,5.7,29.5,0.07,0.0,42.4,Poor,True,val
pond_00126,fish,7.37,7.36,32.6,0.0,0.4,25.0,Optimal,True,train
pond_00127,fish,7.65,6.71,25.2,0.0,0.32,34.4,Optimal,True,train
pond_00128,fish,6.96,6.24,26.7,0.076,0.52,45.7,Acceptable,True,train
pond_00129,fish,7.62,6.5,25.9,0.098,0.15,52.2,Critical,True,train
pond_00130,fish,7.8,5.73,27.4,0.041,0.16,36.7,Acceptable,True,test
pond_00131,fish,7.0,6.02,24.6,0.0,0.24,20.3,Optimal,True,train
pond_00132,fish,7.43,5.71,30.3,0.0,0.42,26.8,Optimal,True,val
pond_00133,fish,7.03,5.23,27.9,0.132,0.0,46.5,Critical,True,train
pond_00134,fish,7.08,6.48,24.4,0.0,0.38,16.6,Optimal,True,train
pond_00135,fish,6.73,5.3,25.7,0.043,0.19,31.8,Acceptable,True,val
pond_00136,fish,8.16,5.76,29.4,0.0,0.0,28.1,Optimal,True,train
pond_00137,fish,8.04,6.11,30.8,0.0,0.0,33.1,Optimal,True,train
pond_00138,fish,7.72,4.31,34.1,0.0,0.17,16.8,Acceptable,True,train
pond_00139,fish,8.58,1.24,36.7,0.045,0.56,1.7,Critical,True,train
pond_00140,fish,7.29,6.38,29.7,0.032,0.62,44.4,Acceptable,True,train
pond_00141,fish,9.22,6.56,25.7,0.102,0.29,52.4,Critical,True,test
pond_00142,fish,7.26,5.69,22.5,0.0,0.69,2.7,Acceptable,True,train
pond_00143,fish,7.55,6.72,29.2,0.021,0.19,41.6,Optimal,True,train
pond_00144,fish,7.16,4.33,26.2,0.272,0.44,54.5,Critical,True,train
pond_00145,fish,7.62,7.51,27.3,0.0,0.09,45.7,Optimal,True,train
pond_00146,fish,7.9,6.09,26.8,0.0,0.07,27.5,Optimal,True,val
pond_00147,fish,7.33,2.71,28.1,0.082,0.03,18.0,Critical,True,train
pond_00148,fish,8.47,5.41,31.5,0.063,0.0,36.5,Critical,True,train
pond_00149,fish,7.54,5.14,28.9,0.102,0.52,39.5,Critical,True,train
pond_00150,fish,7.56,5.12,28.1,0.077,0.04,36.7,Poor,True,train
pond_00151,fish,6.85,5.39,25.6,0.02,0.0,31.8,Optimal,True,test
pond_00152,fish,7.65,6.63,23.8,0.0,0.0,15.5,Acceptable,True,train
pond_00153,fish,7.32,5.41,27.1,0.112,0.15,42.6,Critical,True,train
pond_00154,fish,7.04,3.23,28.3,0.253,0.64,43.5,Critical,True,train
pond_00155,fish,6.93,6.52,33.5,0.004,0.72,38.6,Acceptable,True,train
pond_00156,fish,9.0,5.38,28.9,0.062,0.0,37.0,Poor,True,train
pond_00157,fish,7.24,4.19,31.3,0.373,0.11,65.2,Critical,True,train
pond_00158,fish,6.53,4.52,27.1,0.013,0.0,23.8,Acceptable,True,test
pond_00159,fish,6.98,7.59,25.2,0.082,0.45,58.1,Acceptable,True,train
pond_00160,fish,7.37,4.56,25.8,0.007,0.27,21.8,Acceptable,True,train
pond_00161,fish,7.73,6.42,26.5,0.118,0.04,55.0,Poor,True,train
pond_00162,fish,7.73,3.71,34.5,0.366,0.22,57.2,Critical,True,train
pond_00163,fish,7.81,5.56,26.2,0.0,0.08,29.7,Optimal,True,test
pond_00164,fish,7.01,3.75,30.8,0.4,0.6,64.9,Critical,True,train
pond_00165,fish,7.6,5.47,26.0,0.098,0.34,43.4,Critical,True,train
pond_00166,fish,6.87,5.25,31.1,0.0,0.37,19.2,Optimal,True,train
pond_00167,fish,7.03,5.9,29.6,0.0,0.0,28.3,Optimal,True,val
pond_00168,fish,6.85,4.79,28.1,0.264,0.18,55.4,Critical,True,test
pond_00169,fish,6.69,5.7,28.4,0.188,0.72,51.6,Critical,True,train
pond_00170,fish,8.04,7.44,26.7,0.0,0.53,16.0,Optimal,True,train
pond_00171,fish,7.81,3.2,29.7,0.162,0.0,32.5,Critical,True,train
pond_00172,fish,7.99,6.06,27.2,0.035,0.12,38.7,Optimal,True,train
pond_00173,fish,7.42,5.2,25.1,0.0,0.0,25.9,Optimal,True,train
pond_00174,fish,7.87,5.09,24.9,0.429,0.63,77.4,Critical,True,train
pond_00175,fish,6.34,6.06,29.0,0.027,0.26,39.2,Acceptable,True,train
pond_00176,fish,7.92,4.09,32.9,0.116,0.01,33.9,Critical,True,test
pond_00177,fish,7.51,4.0,28.9,0.316,0.21,56.4,Critical,True,test
pond_00178,fish,7.78,7.73,28.2,0.0,0.0,28.4,Optimal,True,train
pond_00179,fish,7.63,6.92,29.3,0.066,0.0,53.1,Poor,True,train
pond_00180,fish,6.81,2.31,32.2,0.025,0.21,5.0,Acceptable,True,train
pond_00181,fish,6.5,3.6,29.1,0.119,0.41,26.8,Critical,True,train
pond_00182,fish,6.97,6.88,27.3,0.113,0.0,53.9,Critical,True,val
pond_00183,fish,7.74,4.74,31.6,0.33,0.1,63.3,Critical,True,train
pond_00184,fish,7.81,7.64,29.7,0.0,0.45,21.1,Optimal,True,train
pond_00185,fish,6.58,5.74,32.8,0.0,0.0,19.0,Optimal,True,train
pond_00186,fish,6.81,6.11,29.0,0.095,0.26,45.2,Critical,True,train
pond_00187,fish,6.97,5.1,25.1,0.0,0.22,23.8,Optimal,True,train
pond_00188,fish,7.19,7.31,24.7,0.0,0.63,30.2,Optimal,True,val
pond_00189,fish,6.58,3.02,33.1,0.338,0.14,50.8,Critical,True,train
pond_00190,fish,6.55,6.59,33.3,0.0,0.16,25.2,Acceptable,True,val
pond_00191,fish,6.91,6.5,28.0,0.0,0.41,0.0,Acceptable,True,train
pond_00192,fish,7.45,4.88,27.4,0.0,0.0,11.6,Optimal,True,test
pond_00193,fish,6.69,6.05,32.6,0.019,0.14,35.2,Optimal,True,train
pond_00194,fish,7.33,9.6,25.4,0.0,0.09,1.5,Acceptable,True,val
pond_00195,fish,8.04,6.03,26.0,0.0,0.17,29.7,Optimal,True,val
pond_00196,fish,6.62,6.18,30.3,0.0,0.41,9.9,Optimal,True,train
pond_00197,fish,7.28,5.43,27.4,0.29,0.34,64.5,Critical,True,test
pond_00198,fish,8.01,5.92,28.5,0.337,0.01,74.0,Critical,True,test
pond_00199,fish,7.15,3.79,28.0,0.0,0.23,16.0,Acceptable,True,train
pond_00200,fish,7.06,5.6,29.4,0.049,0.57,39.6,Poor,True,test
pond_00201,fish,8.1,5.02,32.4,0.0,0.0,17.7,Optimal,True,train
pond_00202,fish,7.22,8.26,28.8,0.0,0.24,29.4,Optimal,True,train
pond_00203,fish,8.06,2.9,30.3,0.514,0.15,67.5,Critical,True,train
pond_00204,fish,7.66,6.64,22.8,0.0,0.18,26.6,Acceptable,True,train
pond_00205,fish,7.19,7.63,28.4,0.0,0.0,29.9,Acceptable,True,train
pond_00206,fish,7.69,5.97,26.1,0.0,0.55,18.0,Optimal,True,test
pond_00207,fish,7.59,6.29,25.1,0.149,0.01,55.6,Critical,True,train
pond_00208,fish,8.01,5.16,26.0,0.0,0.46,0.0,Acceptable,True,train
pond_00209,fish,7.07,4.69,27.6,0.031,0.04,27.0,Acceptable,True,train
pond_00210,fish,7.42,2.69,31.1,0.228,0.04,34.2,Critical,True,train
pond_00211,fish,7.36,5.71,24.8,0.0,0.5,23.1,Optimal,True,train
pond_00212,fish,7.82,4.4,28.6,0.232,0.45,50.5,Critical,True,val
pond_00213,fish,6.78,6.26,27.1,0.159,0.25,56.6,Critical,True,val
pond_00214,fish,8.01,4.89,27.6,0.0,0.39,9.6,Optimal,True,train
pond_00215,fish,7.68,4.53,31.3,0.453,0.13,72.7,Critical,True,val
pond_00216,fish,6.61,4.84,30.0,0.0,0.2,9.4,Optimal,True,val
pond_00217,fish,8.12,4.93,32.2,0.262,0.03,58.2,Critical,True,train
pond_00218,fish,8.74,5.15,28.1,0.073,0.43,37.7,Poor,True,test
pond_00219,fish,8.0,4.73,26.6,0.039,0.03,25.9,Acceptable,True,test
pond_00220,fish,8.26,6.05,27.9,0.0,0.57,27.6,Optimal,True,train
pond_00221,fish,7.45,7.15,29.2,0.0,0.12,34.4,Optimal,True,test
pond_00222,fish,6.4,5.87,29.0,0.034,0.21,38.8,Optimal,True,train
pond_00223,fish,6.29,5.6,25.5,0.0,0.39,18.4,Acceptable,True,train
pond_00224,fish,7.55,5.57,28.8,0.0,0.21,30.8,Optimal,True,test
pond_00225,fish,7.04,2.79,29.1,0.116,0.13,21.1,Poor,True,train
pond_00226,fish,6.85,4.09,35.5,0.0,0.19,13.1,Poor,True,train
pond_00227,fish,7.36,4.11,33.8,0.014,0.42,20.3,Poor,True,train
pond_00228,fish,7.77,5.01,26.1,0.0,0.03,14.3,Optimal,True,train
pond_00229,fish,6.53,4.92,27.7,0.014,0.17,27.4,Optimal,True,val
pond_00230,fish,7.13,6.1,24.4,0.033,0.2,42.8,Acceptable,True,train
pond_00231,fish,8.31,7.54,26.8,0.0,0.42,37.2,Optimal,True,train
pond_00232,fish,6.75,7.14,29.4,0.208,0.18,70.5,Critical,True,train
pond_00233,fish,7.92,3.78,31.9,0.0,0.65,0.0,Poor,True,val
pond_00234,fish,7.11,5.51,26.5,0.105,0.16,43.4,Critical,True,train
pond_00235,fish,7.73,5.5,26.7,0.039,0.14,35.1,Acceptable,True,val
pond_00236,fish,8.06,8.22,22.5,0.0,0.16,49.7,Acceptable,True,train
pond_00237,fish,7.84,6.1,28.0,0.098,0.0,47.9,Critical,True,val
pond_00238,fish,7.95,6.57,25.5,0.0,0.0,32.0,Optimal,True,test
pond_00239,fish,6.71,6.87,27.0,0.0,0.07,38.1,Optimal,True,train
pond_00240,fish,8.07,5.49,26.0,0.0,0.48,21.6,Optimal,True,val
pond_00241,fish,6.89,7.77,28.2,0.0,0.19,46.0,Optimal,True,train
pond_00242,fish,7.56,6.85,23.6,0.0,0.08,1.2,Acceptable,True,train
pond_00243,fish,7.55,5.48,24.4,0.161,0.51,49.0,Critical,True,train
pond_00244,fish,7.69,4.2,34.5,0.12,0.59,34.6,Critical,True,train
pond_00245,fish,7.6,8.3,24.9,0.0,0.51,26.2,Optimal,True,train
pond_00246,fish,6.89,5.86,25.4,0.0,0.0,30.8,Optimal,True,train
pond_00247,fish,6.59,6.03,33.6,0.0,0.08,32.1,Acceptable,True,train
pond_00248,fish,7.92,3.18,36.6,0.415,0.65,58.4,Critical,True,train
pond_00249,fish,7.51,5.43,25.2,0.512,0.26,93.2,Critical,True,train
pond_00250,fish,8.09,6.94,27.5,0.117,0.13,57.0,Critical,True,train
pond_00251,fish,7.37,4.37,29.5,0.033,0.38,24.8,Acceptable,True,test
pond_00252,fish,6.56,5.91,33.3,0.1,0.45,46.3,Critical,True,train
pond_00253,fish,7.98,6.88,25.7,0.037,0.06,47.1,Acceptable,True,val
pond_00254,fish,7.18,4.72,27.8,0.0,0.25,18.3,Optimal,True,train
pond_00255,fish,7.61,5.23,30.7,0.0,0.43,12.3,Optimal,True,train
pond_00256,fish,7.01,4.77,29.7,0.087,0.0,33.9,Critical,True,train
pond_00257,fish,8.39,6.51,27.4,0.1,0.2,49.5,Critical,True,train
pond_00258,fish,6.87,8.52,28.1,0.0,0.0,6.0,Optimal,True,train
pond_00259,fish,7.2,6.11,24.7,0.0,0.0,22.0,Optimal,True,test
pond_00260,fish,7.46,6.69,27.8,0.028,0.06,45.3,Acceptable,True,val
pond_00261,fish,6.74,5.99,27.8,0.0,0.32,35.8,Optimal,True,train
pond_00262,fish,7.6,5.69,29.2,0.208,0.12,60.5,Critical,True,train
pond_00263,fish,8.37,5.9,26.9,0.0,0.04,9.6,Optimal,True,train
pond_00264,fish,7.11,4.32,29.8,0.478,0.21,77.3,Critical,True,test
pond_00265,fish,7.64,5.66,31.3,0.0,0.0,7.3,Acceptable,True,val
pond_00266,fish,5.75,5.3,28.9,0.0,0.31,0.0,Poor,True,train
pond_00267,fish,7.38,4.32,29.5,0.115,0.48,33.9,Critical,True,val
pond_00268,fish,7.21,7.19,28.6,0.0,0.18,14.6,Optimal,True,val
pond_00269,fish,6.91,5.94,28.5,0.0,0.15,34.3,Optimal,True,test
pond_00270,fish,8.05,5.91,26.5,0.0,0.29,33.7,Optimal,True,train
pond_00271,fish,7.2,7.49,29.4,0.0,0.0,31.5,Optimal,True,train
pond_00272,fish,7.29,3.29,28.2,0.093,0.33,19.8,Critical,True,train
pond_00273,fish,7.17,6.33,34.4,0.022,0.98,42.8,Acceptable,True,train
pond_00274,fish,6.25,3.62,32.9,0.13,0.17,29.3,Critical,True,train
pond_00275,fish,6.72,5.86,29.6,0.19,0.17,54.9,Critical,True,train
pond_00276,fish,7.98,5.43,26.4,0.0,0.39,31.8,Optimal,True,val
pond_00277,fish,6.13,5.18,25.4,0.0,0.61,17.6,Acceptable,True,test
pond_00278,fish,6.94,6.92,31.8,0.0,0.44,4.6,Acceptable,True,test
pond_00279,fish,7.16,8.24,29.2,0.0,0.0,31.9,Optimal,True,train
pond_00280,fish,8.45,5.2,29.8,0.0,0.34,12.2,Optimal,True,train
pond_00281,fish,7.86,7.32,23.6,0.0,0.84,10.7,Acceptable,True,test
pond_00282,fish,7.07,5.32,31.1,0.12,0.36,44.5,Critical,True,train
pond_00283,fish,8.18,7.95,29.8,0.0,0.0,3.0,Optimal,True,train
pond_00284,fish,6.96,3.51,25.4,0.38,0.27,60.4,Critical,True,val
pond_00285,fish,8.01,6.61,27.2,0.0,0.0,37.9,Optimal,True,train
pond_00286,fish,6.58,4.62,29.2,0.107,0.51,34.2,Critical,True,train
pond_00287,fish,8.04,2.47,28.6,0.076,0.0,16.4,Critical,True,train
pond_00288,fish,7.16,5.47,27.7,0.124,0.22,48.8,Critical,True,test
pond_00289,fish,6.78,8.45,28.2,0.0,0.0,34.9,Optimal,True,test
pond_00290,fish,7.27,5.03,27.8,0.0,0.06,22.7,Optimal,True,train
pond_00291,fish,7.57,6.82,28.9,0.0,0.57,38.6,Optimal,True,train
pond_00292,fish,7.1,6.6,32.6,0.0,0.23,4.7,Acceptable,True,train
pond_00293,fish,7.73,7.32,21.3,0.0,0.06,5.6,Poor,True,train
pond_00294,fish,7.05,6.11,27.8,0.0,0.0,14.8,Optimal,True,train
pond_00295,fish,7.77,3.29,29.0,0.251,0.0,41.3,Critical,True,train
pond_00296,fish,7.67,4.62,29.3,0.081,0.0,34.9,Poor,True,train
pond_00297,fish,7.36,7.29,27.5,0.058,0.23,53.9,Poor,True,train
pond_00298,fish,7.14,6.94,23.6,0.0,0.45,18.4,Acceptable,True,train
pond_00299,fish,7.49,6.12,29.4,0.093,0.06,45.3,Critical,True,train
pond_00300,fish,7.73,4.95,33.3,0.053,0.59,33.0,Poor,True,train
pond_00301,fish,8.64,9.79,24.2,0.0,0.02,18.0,Acceptable,True,train
pond_00302,fish,7.96,4.68,30.9,0.157,0.14,41.9,Critical,True,train
pond_00303,fish,7.99,8.24,27.6,0.0,0.0,33.8,Optimal,True,val
pond_00304,fish,9.25,6.02,28.3,0.0,0.45,23.7,Acceptable,True,test
pond_00305,fish,7.71,8.8,25.6,0.0,0.72,35.8,Optimal,True,test
pond_00306,fish,7.69,4.29,27.6,0.086,0.0,32.7,Critical,True,train
pond_00307,fish,7.82,5.28,32.1,0.009,0.11,32.2,Optimal,True,val
pond_00308,fish,6.79,4.9,30.1,0.013,0.52,27.6,Optimal,True,train
pond_00309,fish,7.13,4.96,33.4,0.0,0.0,11.5,Acceptable,True,train
pond_00310,fish,7.1,6.8,31.8,0.0,0.34,36.3,Optimal,True,train
pond_00311,fish,7.79,6.07,29.7,0.0,0.51,20.6,Optimal,True,test
pond_00312,fish,7.3,6.46,33.4,0.0,0.22,16.6,Acceptable,True,train
pond_00313,fish,7.48,4.6,29.7,0.058,0.34,30.7,Poor,True,test
pond_00314,fish,8.05,4.15,30.8,0.242,0.64,48.2,Critical,True,train
pond_00315,fish,7.92,6.0,27.7,0.025,0.69,38.3,Optimal,True,train
pond_00316,fish,7.3,5.71,28.7,0.0,0.18,25.4,Optimal,True,val
pond_00317,fish,7.0,5.96,26.5,0.0,0.07,24.7,Optimal,True,train
pond_00318,fish,8.08,3.86,31.3,0.225,0.0,46.4,Critical,True,val
pond_00319,fish,7.86,8.19,25.2,0.0,0.44,0.0,Acceptable,True,val
pond_00320,fish,6.44,4.82,30.7,0.196,0.0,49.4,Critical,True,train
pond_00321,fish,7.21,7.91,28.0,0.0,0.14,1.3,Acceptable,True,val
pond_00322,fish,7.5,5.12,31.8,0.0,0.23,9.5,Optimal,True,train
pond_00323,fish,7.87,6.26,30.6,0.0,0.07,25.7,Optimal,True,train
pond_00324,fish,7.95,5.49,33.6,0.359,0.27,74.1,Critical,True,train
pond_00325,fish,7.57,4.21,30.5,0.398,0.84,65.2,Critical,True,train
pond_00326,fish,7.75,7.26,24.1,0.031,0.17,47.7,Optimal,True,train
pond_00327,fish,7.44,8.54,28.3,0.0,0.09,41.4,Acceptable,True,train
pond_00328,fish,7.0,6.86,25.2,0.0,0.45,1.5,Optimal,True,train
pond_00329,fish,7.24,7.37,27.0,0.0,0.26,37.8,Optimal,True,train
pond_00330,fish,7.41,5.86,32.7,0.0,0.56,25.1,Optimal,True,train
pond_00331,fish,7.38,5.85,30.3,0.0,0.24,20.3,Optimal,True,val
