image_path,label,split,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-39-img-1.jpg,BG,train,6.13,28.92,3.42,27.8,0.03,48.9
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-39-img-2.jpg,BG,test,6.05,29.56,3.8,30.0,0.663,35.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-39-img-3.jpg,BG,train,5.1,32.36,2.67,30.28,0.098,47.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-4-img-1.jpg,BG,train,4.46,31.65,2.48,30.55,0.042,28.38
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-4-img-2.jpg,BG,test,5.71,31.12,2.51,26.46,0.016,38.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-4-img-3.jpg,BG,train,6.56,32.32,4.35,18.11,0.107,37.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-40-img-1.jpg,BG,train,6.32,29.49,3.27,27.38,0.214,43.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-40-img-2.jpg,BG,train,6.17,29.78,2.85,29.58,0.274,40.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-40-img-3.jpg,BG,test,6.62,30.18,4.16,26.37,0.145,38.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-41-img-1.jpg,BG,test,4.76,31.05,4.54,29.31,0.121,42.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-41-img-2.jpg,BG,test,6.24,32.93,2.02,32.58,0.037,50.09
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-41-img-3.jpg,BG,train,6.85,31.45,3.4,26.16,0.071,36.5
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-42-img-1.jpg,BG,val,6.14,29.81,3.58,29.33,0.105,57.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-42-img-2.jpg,BG,val,5.83,32.89,2.46,31.48,0.296,58.56
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-42-img-3.jpg,BG,train,5.64,27.89,1.78,33.98,0.155,46.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-43-img-1.jpg,BG,train,7.69,31.27,3.78,29.92,0.307,47.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-43-img-2.jpg,BG,train,7.23,34.36,4.47,25.96,0.681,44.1
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-43-img-3.jpg,BG,train,6.57,31.14,4.08,21.23,0.014,60.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-44-img-1.jpg,BG,train,5.49,26.86,3.86,28.29,0.106,57.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-44-img-2.jpg,BG,train,5.61,30.35,2.0,27.02,0.172,42.27
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-44-img-3.jpg,BG,val,5.96,32.74,4.68,32.51,0.003,34.83
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-45-img-1.jpg,BG,train,6.41,30.33,2.31,38.29,0.017,45.59
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-45-img-2.jpg,BG,train,5.11,30.64,2.36,25.81,0.009,70.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-45-img-3.jpg,BG,val,7.0,24.37,4.07,32.98,0.042,24.27
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-46-img-1.jpg,BG,test,5.26,29.06,2.31,35.01,0.006,49.85
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-47-img-2.jpg,BG,val,5.64,32.8,2.3,25.9,0.264,49.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-47-img-3.jpg,BG,test,5.96,30.06,3.77,29.78,0.443,61.46
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-48-img-1.jpg,BG,train,5.5,32.48,2.95,29.3,0.137,32.49
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-48-img-3.jpg,BG,val,5.79,33.62,2.64,22.37,0.223,52.56
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-49-img-1.jpg,BG,train,5.25,25.8,4.56,28.84,0.361,44.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-49-img-2.jpg,BG,train,6.08,33.76,3.29,28.6,0.138,66.55
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-49-img-3.jpg,BG,train,6.5,31.43,3.05,28.07,0.047,48.48
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-5-img-1.jpg,BG,train,6.74,28.55,3.91,21.19,0.263,40.31
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-50-img-2.jpg,BG,test,7.21,35.16,2.92,20.64,0.183,32.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-51-img-2.jpg,BG,train,6.21,29.11,2.71,22.37,0.085,58.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-51-img-3.jpg,BG,train,5.57,28.63,5.31,29.97,0.33,46.85
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-52-img-2.jpg,BG,test,5.75,31.31,5.25,27.62,0.102,41.48
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-52-img-3.jpg,BG,train,6.25,30.91,4.62,25.49,0.071,63.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-53-img-1.jpg,BG,train,6.48,33.43,3.7,21.72,0.112,31.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-53-img-2.jpg,BG,train,5.96,31.95,3.69,30.24,0.295,55.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-53-img-3.jpg,BG,train,6.19,26.85,1.92,28.83,0.05,53.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-54-img-2.jpg,BG,train,6.73,30.9,3.75,28.11,0.096,45.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-55-img-1.jpg,BG,val,6.16,29.84,2.85,26.76,0.02,34.58
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-55-img-3.jpg,BG,val,6.87,30.53,2.85,33.79,0.096,46.97
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-56-img-1.jpg,BG,train,6.26,33.22,3.27,32.26,0.699,57.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-56-img-2.jpg,BG,train,5.69,36.75,2.91,26.22,0.137,59.53
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-56-img-3.jpg,BG,test,5.85,30.3,2.12,24.33,0.088,25.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-57-img-1.jpg,BG,train,5.38,33.46,3.03,27.8,0.238,51.75
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-58-img-1.jpg,BG,train,6.2,32.23,3.43,37.82,0.066,39.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-58-img-2.jpg,BG,train,5.74,29.41,4.15,33.68,0.298,39.29
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-58-img-3.jpg,BG,train,5.77,32.58,3.36,21.94,0.225,36.6
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-59-img-1.jpg,BG,train,6.2,29.47,2.89,29.14,0.266,48.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-59-img-2.jpg,BG,train,5.99,29.0,2.1,25.08,0.321,36.59
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-59-img-3.jpg,BG,train,6.1,29.71,3.38,27.93,0.164,56.88
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-6-img-1.jpg,BG,train,5.81,33.61,3.75,35.39,0.078,47.4
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-6-img-3.jpg,BG,train,6.28,33.05,3.61,32.27,0.241,56.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-60-img-1.jpg,BG,train,6.0,31.37,4.17,24.73,0.044,49.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-60-img-2.jpg,BG,train,6.34,31.48,3.24,22.56,0.251,52.46
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-61-img-1.jpg,BG,train,5.92,31.55,3.4,34.31,0.824,57.09
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-61-img-2.jpg,BG,train,5.24,29.88,3.36,32.29,0.017,34.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-61-img-3.jpg,BG,test,6.82,27.19,2.75,29.51,0.355,43.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-62-img-1.jpg,BG,train,4.88,29.61,4.7,22.21,0.045,23.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-62-img-2.jpg,BG,test,5.49,32.77,3.4,25.74,0.266,42.78
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-62-img-3.jpg,BG,train,5.41,35.62,2.34,21.9,1.033,38.08
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-63-img-1.jpg,BG,train,5.96,31.88,2.2,33.78,0.499,50.06
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-63-img-2.jpg,BG,train,6.08,31.86,3.57,30.28,0.358,49.48
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-64-img-1.jpg,BG,val,6.22,32.77,3.13,33.76,0.031,48.75
