image_path,label,species,split_x,is_augmented,fold,split_y,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity,temp_do_ratio,ammonia_toxicity_index,stress_score
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_127.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.57,33.03,2.22,28.91,0.189,58.07,14.878311358957841,0.009277487314512192,2.469
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_128.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.26,32.95,2.21,22.72,0.324,51.18,14.909434798937562,0.07770704970539381,2.8050000000000006
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_129.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.83,31.73,2.63,35.46,0.264,49.74,12.064592910293117,0.22653431126502094,2.268
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_13.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.52,32.97,4.13,24.72,0.262,49.24,7.983031518083492,0.011441427942894508,2.2030000000000003
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_130.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.66,30.39,2.6,24.44,0.903,36.84,11.688416583013142,0.5017396721761456,4.884
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_131.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.27,33.07,3.21,33.81,0.215,30.94,10.30214859143741,0.052958130584119224,2.066
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_132.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.08,28.32,3.59,27.11,0.004,52.14,7.8885574134890994,0.0005447700606138423,1.165
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_135.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,6.38,30.82,2.52,21.94,0.476,35.74,12.230110197975405,0.14076658619420002,3.284
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_136.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,5.79,31.43,3.51,24.46,0.239,46.54,8.95439044333207,0.018526879348532106,2.2159999999999997
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_137.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.13,28.14,3.49,30.24,0.299,35.41,8.063014146091271,0.04539993935729043,2.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_139.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.93,32.29,3.61,30.06,0.4,83.53,8.944573560738059,0.43973195605687543,2.488
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_14.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.82,32.63,6.42,31.04,0.118,46.65,5.082546600394704,0.010175577642406276,0.9759999999999999
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_140.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,4.98,32.72,1.91,26.11,0.034,55.89,17.130800362301766,0.0004249640608388513,2.1189999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_142.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.67,32.7,2.62,28.87,0.013,68.89,12.480868393632086,0.0007953368342447517,1.6150000000000002
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_143.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,7.21,25.94,3.35,25.35,0.144,53.52,7.7432604678792005,0.2423217826108261,1.4579999999999997
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_145.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.4,33.16,2.24,26.66,0.043,48.18,14.803505341494008,0.01432659449984353,1.63
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_147.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,5.13,27.85,3.93,36.49,0.136,55.32,7.086495963114598,0.0020437327256416587,1.876
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_15.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.86,29.23,3.56,31.1,0.161,44.81,8.210651093676702,0.13636869444766833,1.568
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_150.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.98,30.37,0.5,34.53,0.252,30.7,60.73878522429552,0.2923514983617081,2.814
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_151.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.8,31.03,2.41,29.85,0.018,42.98,12.875465247032169,0.01409659660743868,1.359
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_152.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.14,31.28,3.73,34.34,0.153,32.62,8.386036498561666,0.026425192915628264,1.701
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_154.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,5.54,32.47,2.54,25.51,0.018,53.85,12.78341423852662,0.0008106152784619465,1.698
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_155.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.61,31.89,2.65,31.6,0.332,48.07,12.033916853143952,0.17252522174581966,2.6
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_158.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,5.6,29.6,3.8,30.44,1.164,27.12,7.789453185649512,0.05486617478847362,5.886
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_16.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,5.37,32.37,3.04,27.13,0.347,55.99,10.647991289502336,0.010532516921164536,2.9149999999999996
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_160.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,val,6.88,31.05,3.75,26.76,0.123,42.29,8.27997792005888,0.11588486182690824,1.353
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_164.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.79,32.98,3.7,30.51,0.024,38.01,8.913489423001558,0.019521891034936015,0.9989999999999999
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_165.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,6.09,33.44,3.08,24.7,0.039,41.79,10.857107606793484,0.006417869280570699,1.455
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_167.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.61,31.61,3.4,25.97,0.019,50.59,9.297031479319179,0.000978674084185489,1.4229999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_169.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.62,27.38,2.07,25.13,0.375,42.87,13.226989241597867,0.17120825579126678,2.943
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_17.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,val,6.61,30.6,3.18,23.99,0.003,38.18,9.622611249650157,0.001495900380096703,1.125
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_170.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,val,6.07,31.81,2.54,30.08,0.819,60.33,12.523572741839597,0.12243555724532426,4.742999999999999
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_173.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.51,30.0,3.38,28.05,0.019,49.74,8.875713385463357,0.007377935377995521,1.159
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_174.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.13,34.63,3.97,36.61,0.219,37.33,8.722899942317525,0.04092197613075449,1.896
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_175.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,7.41,28.98,2.53,25.6,0.156,55.33,11.454500179841187,0.46481803545616424,1.692
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_176.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,val,5.01,31.85,4.7,31.8,0.289,39.23,6.77658132642271,0.0037676215365588153,2.293
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_177.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,5.31,35.58,4.14,26.12,1.091,47.95,8.594182139656668,0.031702293741533556,5.579
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_178.jpeg,Bacterial diseases - Aeromoniasis,fish,train,False,3,val,5.44,30.71,4.19,21.62,0.015,39.01,7.329338116138148,0.0005074941808770909,1.2209999999999996
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_18.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.1,31.12,2.84,30.49,0.15,31.31,10.957707895394735,0.023506655289020673,1.9680000000000002
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_181.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.42,27.16,4.22,29.33,0.184,37.52,6.4360037061523565,0.05257842589367062,1.594
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_183.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.54,31.17,5.82,35.02,0.523,34.8,5.355660900926288,0.22609891719042524,2.4339999999999997
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_186.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.92,28.59,3.75,32.23,0.124,27.41,7.623979669387548,0.11794942603049378,1.345
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_187.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.94,32.79,4.4,28.3,0.126,54.82,7.452255790327749,0.014393683641788592,1.4519999999999997
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_188.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.3,26.74,3.16,29.54,0.17,44.67,8.461998537979309,0.03628025372554212,1.8920000000000003
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_189.jpeg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,5.32,32.67,3.49,24.24,0.05,52.47,9.361004696261615,0.0013651460919000304,1.6069999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_19.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,5.93,28.54,3.6,25.88,0.049,37.07,7.92775575623401,0.004761130003617978,1.387
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_192.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,val,6.04,28.41,2.76,23.21,0.175,43.98,10.293440965793604,0.02180566188669952,2.1100000000000003
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_193.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.13,29.25,3.37,27.55,0.41,42.79,8.67949946736063,0.0647097494779216,2.84
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_194.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,5.78,29.56,2.98,18.79,0.241,38.73,9.91942980057114,0.017170441555241132,2.386
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_195.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,4.78,32.44,3.45,40.0,0.028,56.2,9.402871296025227,0.00021892676928922435,1.6929999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_196.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,5.14,31.51,2.59,22.31,0.005,34.39,12.165976193142113,8.699181635527374e-05,1.751
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_197.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,5.71,35.22,3.91,27.97,0.023,59.8,9.0076495968041,0.00166179397086418,1.2559999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_198.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,7.01,32.35,2.37,27.24,0.083,58.96,13.649731435732338,0.1099037139569375,1.568
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_199.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,5.31,27.5,3.65,25.4,0.052,40.13,7.534225933627579,0.0011678741043509697,1.5700000000000003
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_2.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,6.13,28.92,3.42,27.8,0.03,48.9,8.45611562539291,0.0046814407877460735,1.3050000000000002
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_200.jpeg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.05,29.56,3.8,30.0,0.663,35.22,7.778926897560796,0.0879585273303083,3.7470000000000008
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_201.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,5.1,32.36,2.67,30.28,0.098,47.8,12.119804794738597,0.0015969619919658413,2.111
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_203.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,4.46,31.65,2.48,30.55,0.042,28.38,12.76204531433341,0.00015334972308424789,2.136
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_204.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,5.71,31.12,2.51,26.46,0.016,38.98,12.398356978657457,0.0010214557612679216,1.648
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_205.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,6.56,32.32,4.35,18.11,0.107,37.03,7.429867977314996,0.050224442085126164,1.2050000000000003
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_206.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,6.32,29.49,3.27,27.38,0.214,43.8,9.01832104488977,0.05274102152144613,2.029
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_207.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.17,29.78,2.85,29.58,0.274,40.79,10.449086143557391,0.048276441188415536,2.44
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_209.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.62,30.18,4.16,26.37,0.145,38.24,7.254790252908046,0.07297048436018141,1.396
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_21.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,4.76,31.05,4.54,29.31,0.121,42.81,6.839191984158626,0.0008647826466290257,1.744
